recorded_at,source,name,line1,line2
2024-12-26T21:00:20.740721+09:00,gs_db,YOMOGI,1 62298U 98067XE  24360.53985537  .00111799  00000+0  16712-2 0  9993,2 62298  51.6369  87.0598 0012805  13.9878 346.1465 15.54062268  2514
2024-12-27T03:00:12.273456+09:00,gs_db,YOMOGI,1 62298U 98067XE  24361.24717358  .00103362  00000+0  15383-2 0  9996,2 62298  51.6372  83.5341 0012999  16.7517 343.3901 15.54218233  2621
2024-12-27T09:00:36.181541+09:00,gs_db,YOMOGI,1 62298U 98067XE  24361.50436254  .00108306  00000+0  16072-2 0  9997,2 62298  51.6375  82.2511 0012992  17.8068 342.3376 15.54275371  2660
2024-12-27T15:00:09.636752+09:00,gs_db,YOMOGI,1 62298U 98067XE  24361.50436254  .00108306  00000+0  16072-2 0  9997,2 62298  51.6375  82.2511 0012992  17.8068 342.3376 15.54275371  2660
2024-12-27T21:00:31.819482+09:00,gs_db,YOMOGI,1 62298U 98067XE  24361.50436254  .00108306  00000+0  16072-2 0  9997,2 62298  51.6375  82.2511 0012992  17.8068 342.3376 15.54275371  2660
2024-12-28T03:00:09.689105+09:00,gs_db,YOMOGI,1 62298U 98067XE  24362.40445286  .00105559  00000+0  15560-2 0  9990,2 62298  51.6378  77.7631 0013146  21.5919 338.5623 15.54468565  2801
2024-12-28T09:00:27.746718+09:00,gs_db,YOMOGI,1 62298U 98067XE  24362.53302808  .00107449  00000+0  15818-2 0  9992,2 62298  51.6374  77.1209 0013173  22.0012 338.1542 15.54495212  2829
2024-12-28T15:00:11.380212+09:00,gs_db,YOMOGI,1 62298U 98067XE  24362.53302808  .00107449  00000+0  15818-2 0  9992,2 62298  51.6374  77.1209 0013173  22.0012 338.1542 15.54495212  2829
2024-12-28T21:00:24.951942+09:00,gs_db,YOMOGI,1 62298U 98067XE  24362.53302808  .00107449  00000+0  15818-2 0  9992,2 62298  51.6374  77.1209 0013173  22.0012 338.1542 15.54495212  2829
2024-12-29T03:00:08.483935+09:00,gs_db,YOMOGI,1 62298U 98067XE  24363.43299032  .00107508  00000+0  15713-2 0  9996,2 62298  51.6374  72.6314 0013296  25.6561 334.5087 15.54689959  2962
2024-12-29T09:00:30.098031+09:00,gs_db,YOMOGI,1 62298U 98067XE  24363.49726891  .00112494  00000+0  16419-2 0  9994,2 62298  51.6373  72.3106 0013297  25.8905 334.2749 15.54705343  2971
2024-12-29T15:00:08.700426+09:00,gs_db,YOMOGI,1 62298U 98067XE  24363.49726891  .00112494  00000+0  16419-2 0  9994,2 62298  51.6373  72.3106 0013297  25.8905 334.2749 15.54705343  2971
2024-12-29T21:00:26.583611+09:00,gs_db,YOMOGI,1 62298U 98067XE  24363.49726891  .00112494  00000+0  16419-2 0  9994,2 62298  51.6373  72.3106 0013297  25.8905 334.2749 15.54705343  2971
2024-12-30T03:00:09.868093+09:00,gs_db,YOMOGI,1 62298U 98067XE  24364.33283487  .00111016  00000+0  16092-2 0  9993,2 62298  51.6376  68.1411 0013397  29.1638 331.0098 15.54898521  3106
2024-12-30T09:00:30.422998+09:00,gs_db,YOMOGI,1 62298U 98067XE  24364.33283487  .00111016  00000+0  16092-2 0  9993,2 62298  51.6376  68.1411 0013397  29.1638 331.0098 15.54898521  3106
2024-12-30T15:00:08.237092+09:00,gs_db,YOMOGI,1 62298U 98067XE  24364.91123940  .00123123  00000+0  17715-2 0  9999,2 62298  51.6377  65.2547 0013524  31.4439 328.7358 15.55046130  3195
2024-12-30T21:00:24.533844+09:00,gs_db,YOMOGI,1 62298U 98067XE  24364.91123940  .00123123  00000+0  17715-2 0  9999,2 62298  51.6377  65.2547 0013524  31.4439 328.7358 15.55046130  3195
2024-12-31T03:00:08.753316+09:00,gs_db,YOMOGI,1 62298U 98067XE  24364.91123940  .00123123  00000+0  17715-2 0  9999,2 62298  51.6377  65.2547 0013524  31.4439 328.7358 15.55046130  3195
2024-12-31T09:00:34.378868+09:00,gs_db,YOMOGI,1 62298U 98067XE  24365.36107152  .00117491  00000+0  16847-2 0  9992,2 62298  51.6374  63.0088 0013634  33.1676 327.0167 15.55161408  3266
2024-12-31T15:00:08.238856+09:00,gs_db,YOMOGI,1 62298U 98067XE  24365.87512531  .00127674  00000+0  18189-2 0  9994,2 62298  51.6371  60.4422 0013742  35.3035 324.8864 15.55292429  3345
2024-12-31T21:00:21.932084+09:00,gs_db,YOMOGI,1 62298U 98067XE  24365.87512531  .00127674  00000+0  18189-2 0  9994,2 62298  51.6371  60.4422 0013742  35.3035 324.8864 15.55292429  3345
2025-01-01T03:00:09.230432+09:00,gs_db,YOMOGI,1 62298U 98067XE  24365.87512531  .00127674  00000+0  18189-2 0  9994,2 62298  51.6371  60.4422 0013742  35.3035 324.8864 15.55292429  3345
2025-01-01T09:00:25.515315+09:00,gs_db,YOMOGI,1 62298U 98067XE  24366.32488704  .00116347  00000+0  16536-2 0  9998,2 62298  51.6368  58.1956 0013768  37.0817 323.1123 15.55404640  3410
2025-01-01T15:00:08.621325+09:00,gs_db,YOMOGI,1 62298U 98067XE  24366.58187931  .00121576  00000+0  17224-2 0  9999,2 62298  51.6365  56.9117 0013754  38.1084 322.0877 15.55469333  3453
2025-01-01T21:00:24.280851+09:00,gs_db,YOMOGI,1 62298U 98067XE  24366.58187931  .00121576  00000+0  17224-2 0  9999,2 62298  51.6365  56.9117 0013754  38.1084 322.0877 15.55469333  3453
2025-01-02T03:00:09.065761+09:00,gs_db,YOMOGI,1 62298U 98067XE  25001.41702404  .00156059  00000+0  21798-2 0  9991,2 62298  51.6365  52.7390 0013812  41.2895 318.9138 15.55713314  3589
2025-01-02T09:00:24.271411+09:00,gs_db,YOMOGI,1 62298U 98067XE  25001.41702404  .00156059  00000+0  21798-2 0  9991,2 62298  51.6365  52.7390 0013812  41.2895 318.9138 15.55713314  3589
2025-01-02T15:00:13.249909+09:00,gs_db,YOMOGI,1 62298U 98067XE  25001.41702404  .00156059  00000+0  21798-2 0  9991,2 62298  51.6365  52.7390 0013812  41.2895 318.9138 15.55713314  3589
2025-01-02T21:00:22.324842+09:00,gs_db,YOMOGI,1 62298U 98067XE  25001.41702404  .00156059  00000+0  21798-2 0  9991,2 62298  51.6365  52.7390 0013812  41.2895 318.9138 15.55713314  3589
2025-01-03T03:00:08.95492+09:00,gs_db,YOMOGI,1 62298U 98067XE  25001.41702404  .00156059  00000+0  21798-2 0  9991,2 62298  51.6365  52.7390 0013812  41.2895 318.9138 15.55713314  3589
2025-01-03T09:00:30.981881+09:00,gs_db,YOMOGI,1 62298U 98067XE  25001.41702404  .00156059  00000+0  21798-2 0  9991,2 62298  51.6365  52.7390 0013812  41.2895 318.9138 15.55713314  3589
2025-01-03T15:00:08.190275+09:00,gs_db,YOMOGI,1 62298U 98067XE  25001.41702404  .00156059  00000+0  21798-2 0  9991,2 62298  51.6365  52.7390 0013812  41.2895 318.9138 15.55713314  3589
2025-01-03T21:00:27.207576+09:00,gs_db,YOMOGI,1 62298U 98067XE  25003.08686843  .00120344  00000+0  16579-2 0  9993,2 62298  51.6362  44.3905 0013869  47.7387 312.4778 15.56229458  3844
2025-01-04T03:00:09.648201+09:00,gs_db,YOMOGI,1 62298U 98067XE  25003.08686843  .00120344  00000+0  16579-2 0  9993,2 62298  51.6362  44.3905 0013869  47.7387 312.4778 15.56229458  3844
2025-01-04T09:00:22.661135+09:00,gs_db,YOMOGI,1 62298U 98067XE  25003.08686843  .00120344  00000+0  16579-2 0  9993,2 62298  51.6362  44.3905 0013869  47.7387 312.4778 15.56229458  3844
2025-01-04T15:00:07.049484+09:00,gs_db,YOMOGI,1 62298U 98067XE  25003.08686843  .00120344  00000+0  16579-2 0  9993,2 62298  51.6362  44.3905 0013869  47.7387 312.4778 15.56229458  3844
