time_utc,+X_HK,-X_HK,+Y_HK,-Y_HK,+Z_HK,-Z_HK,BPB_HK,BAT_HK,COM_UHF_HK,t_s,-X_V,+Y_V,-Y_V,+Z_V,-Z_V,-X_I,+Y_I,-Y_I,+Z_I,-Z_I
2024-09-24T05:29:36Z,-27.4169921875,1.9683006966273917,1.4038225708564769,-1.308565912108932,0.1612397101308467,30.04334699746215,0.8391368708409033,1.1235710475314704,-6.658731151293239,2231076.0,5.25665283203125,5.29022216796875,5.22308349609375,5.22308349609375,5.22918701171875,0.0618749999999999,0.1340625,0.0154687499999999,0.0103125,0.020625
2024-09-24T05:29:42Z,-25.76904296875,1.9683006966273917,1.5167347946245575,-1.308565912108932,0.0482277296851023,30.486680213507285,0.9520906277773022,1.1235710475314704,-6.658731151293239,2231082.0,5.36651611328125,5.1971435546875,5.0628662109375,5.255126953125,5.21392822265625,0.226875,0.00515625,0.00515625,0.00515625,0.00515625
2024-09-24T05:29:48Z,-25.03662109375,2.081171433008965,1.4038225708564769,-1.421686261223769,0.1612397101308467,30.929887852906365,1.0650360744135234,1.1235710475314704,-6.658731151293239,2231088.0,5.24139404296875,5.11627197265625,5.24444580078125,5.21392822265625,5.2215576171875,0.103125,0.00515625,0.0721874999999999,0.020625,0.0360937499999999
2024-09-24T05:29:53Z,-25.4638671875,2.194033877399203,1.2909020441202337,-1.421686261223769,0.2742433674195297,31.37297002231019,1.0650360744135234,1.1235710475314704,-6.658731151293239,2231093.0,5.07354736328125,4.95758056640625,5.0750732421875,5.0811767578125,5.1239013671875,0.0309374999999999,0.00515625,0.02578125,0.02578125,0.1546874999999999
2024-09-24T05:30:04Z,-27.9052734375,2.194033877399203,1.7425343405796667,-1.308565912108932,0.1612397101308467,31.59446408905074,1.2909020441202337,1.1235710475314704,-6.658731151293239,2231104.0,5.4107666015625,5.4534912109375,5.25054931640625,5.255126953125,5.17425537109375,0.04125,0.1546874999999999,0.00515625,0.00515625,0.00515625
2024-09-24T05:30:09Z,-25.09765625,2.194033877399203,2.194033877399203,-1.308565912108932,0.1612397101308467,31.70519937375016,1.4038225708564769,1.1235710475314704,-6.658731151293239,2231109.0,5.25054931640625,5.18646240234375,5.25665283203125,5.19866943359375,5.21087646484375,0.1495312499999999,0.0154687499999999,0.1237499999999999,0.0154687499999999,0.02578125
2024-09-24T05:30:44Z,-26.318359375,2.871034514210198,2.194033877399203,-0.5169570842980526,-0.0647925757566412,32.92277107523891,1.8554216664274072,1.1235710475314704,-6.658731151293239,2231144.0,5.21240234375,5.36346435546875,5.30853271484375,5.2276611328125,5.18646240234375,0.00515625,0.1907812499999999,0.0309374999999999,0.00515625,0.00515625
2024-09-24T05:30:50Z,-28.271484375,2.871034514210198,2.645400771586001,-0.6300190423355616,-0.1778212080350769,33.14404612770557,1.9683006966273917,1.1235710475314704,-6.658731151293239,2231150.0,5.3558349609375,5.4290771484375,5.33599853515625,5.25360107421875,5.15289306640625,0.020625,0.1959375,0.0103125,0.0,0.00515625
2024-09-24T05:30:56Z,-26.5625,2.758221783416836,2.9838389657888733,-0.5169570842980526,-0.1778212080350769,33.25467194008187,1.9683006966273917,1.1235710475314704,-6.658731151293239,2231156.0,5.26275634765625,5.21697998046875,5.0811767578125,5.2337646484375,5.206298828125,0.1546874999999999,0.02578125,0.00515625,0.0360937499999999,0.0154687499999999
2024-09-24T05:31:01Z,-25.03662109375,2.871034514210198,2.9838389657888733,-0.4039034604638232,-0.0647925757566412,33.475900145386014,2.081171433008965,1.1235710475314704,-6.658731151293239,2231161.0,5.21697998046875,5.2337646484375,5.2886962890625,5.242919921875,5.20172119140625,0.0103125,0.020625,0.1753124999999999,0.020625,0.0103125
