date,time_jst,from,to,via,info,source_log
2025-12-21,10:12:11,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",B,20251221_10_uiss_text.txt
2025-12-21,10:12:25,JA5BLZ,CQ,JS1YPT,:JI1IZR   :GA 599 PM63UO TU 73,20251221_10_uiss_text.txt
2025-12-21,10:12:28,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",">・A5BLZ>CQ,JS1YPT::JI1IZR   :GA 599 PM63Uｧ TU 73",20251221_10_uiss_text.txt
2025-12-21,10:12:28,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",s,20251221_10_uiss_text.txt
2025-12-21,10:12:30,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",">JA5BLZ>CQ,JS1YPT::JI1IZﾒ   :GA 599 PM63Uｧ TU 73",20251221_10_uiss_text.txt
2025-12-21,10:12:30,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",s,20251221_10_uiss_text.txt
2025-12-21,10:12:32,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",">JA5BLZ>CQ,JS1YPTz:JI1IZR   :GA 599 PM63Uｧ TU 73",20251221_10_uiss_text.txt
2025-12-21,10:12:37,JS1YUL,JS1YUL,JS1YPT,test message,20251221_10_uiss_text.txt
2025-12-21,10:12:52,JS1YUL,JS1YUL,JS1YPT,test message,20251221_10_uiss_text.txt
2025-12-21,10:13:01,JS1YKP,JS1YKP,JS1YPT,This is ChibaTech Merry Xmas,20251221_10_uiss_text.txt
2025-12-21,10:13:03,JS1YKP,JS1YKP,JS1YPT,This is ChibaTech Merry Xmas,20251221_10_uiss_text.txt
2025-12-21,10:13:05,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",">JS1YKP>JScYKP,JS1YPT:This ｵs ChibaTech Merry Xmas",20251221_10_uiss_text.txt
2025-12-21,10:13:05,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",B,20251221_10_uiss_text.txt
2025-12-21,10:13:07,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",">JS1YKP>JS1YKP,JS1YPT:Thi・ ｵs ChibaTech Merry Xmas",20251221_10_uiss_text.txt
2025-12-21,10:13:07,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",B,20251221_10_uiss_text.txt
2025-12-21,10:13:09,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",">JS1YKP>JSaYKP,JS1YPT:This ｵs ChibaTech Mﾋrry Xmas",20251221_10_uiss_text.txt
2025-12-21,10:13:10,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",B,20251221_10_uiss_text.txt
2025-12-21,10:13:28,JI1IZR,CQ,JS1YPT,:JS1YKP   :Hello from PM95pi Via BOTAN TNX,20251221_10_uiss_text.txt
2025-12-21,10:13:30,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",">J・1IZR>CQ,JS1YPT::JS1YKP   :Hellﾟ from PM95pi Via BOTAN TNX",20251221_10_uiss_text.txt
2025-12-21,10:13:30,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",X,20251221_10_uiss_text.txt
2025-12-21,10:13:32,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",">JI1IZR>CQ,JS1YPT::JS1YKP   :Hello from PM95pi Vi・ BOTAN TNX",20251221_10_uiss_text.txt
2025-12-21,10:13:33,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",X,20251221_10_uiss_text.txt
2025-12-21,10:13:35,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",">JI1・ZR>CQ,JS1YPT::JS1YKP   :Hello ﾆrom PM95pi Via BOTAN TNX",20251221_10_uiss_text.txt
2025-12-21,10:13:35,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",X,20251221_10_uiss_text.txt
2025-12-21,10:13:42,JS1YUL,JS1YUL,JS1YPT,test message,20251221_10_uiss_text.txt
2025-12-21,10:14:17,JS1YUL,JS1YUL,JS1YPT,:APRS     :test message,20251221_10_uiss_text.txt
2025-12-21,10:14:18,JS1YUL,JS1YUL,JS1YPT,:APRS     :test message,20251221_10_uiss_text.txt
2025-12-21,10:14:20,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",`,20251221_10_uiss_text.txt
2025-12-21,10:14:23,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",">JS1YUL>JS1YU・,JS1YPT::APRS     :test messagﾉ",20251221_10_uiss_text.txt
2025-12-21,10:14:23,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",,20251221_10_uiss_text.txt
2025-12-21,10:14:25,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",,20251221_10_uiss_text.txt
2025-12-21,10:14:33,JS1YKP,JS1YKP,JI1IZR,This is ChibaTech Merry Xmas,20251221_10_uiss_text.txt
2025-12-21,10:14:38,JS1YKP,JS1YKP,JI1IZR,This is ChibaTech Merry Xmas,20251221_10_uiss_text.txt
2025-12-21,10:14:43,JS1YUL,JS1YUL,JS1YPT,:APRS     :test message,20251221_10_uiss_text.txt
2025-12-21,10:14:47,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",a,20251221_10_uiss_text.txt
2025-12-21,10:14:49,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",a,20251221_10_uiss_text.txt
