satellite,instrument,mission,date,downlink_date,path,width,height,bytes,brightness,contrast,status,capture_start,capture_end,time_basis,iso,shutter,exposure_mode,capture_confidence,sha256
KASHIWA,CAM,,2024-06-13,2024-06-19,data/downlink/01_kashiwa/images/cam/kashiwa_20240613T1333_86b3bc9d96.jpg,80.0,45.0,2684,59.65,87.99,ok,2024-06-13T13:33:00+09:00,2024-06-13T13:38:00+09:00,uplink+timer,100,1 ms,manual,high,86b3bc9d965fb6aa9b9671d88fcd27c237825621791bd89dc30f000327d1f046
KASHIWA,CAM,,2024-06-26,2024-06-27,data/downlink/01_kashiwa/images/cam/kashiwa_20240626T0912_731c095660.jpg,80.0,45.0,2501,48.33,85.38,ok,2024-06-26T09:12:00+09:00,2024-06-26T09:17:00+09:00,uplink+timer,,,preset-day,medium,731c095660f81a5f7e2ffb730e94be71220020bc36966509a1a36459d700d103
KASHIWA,CAM,,2024-06-29,2024-07-01,data/downlink/01_kashiwa/images/cam/kashiwa_20240629T0903_78f57e2d31.jpg,640.0,480.0,17995,126.26,37.15,ok,2024-06-29T09:03:00+09:00,2024-06-29T09:06:00+09:00,uplink+timer,,,preset-day,high,78f57e2d31a85d6c0590914493f810bb263a7c6d44adea5d6073b8cbc06b28a1
KASHIWA,CAM,,2024-06-29,2024-07-03,data/downlink/01_kashiwa/images/cam/kashiwa_20240629T0903_7b736ee58d.jpg,640.0,480.0,18788,125.45,38.01,ok,2024-06-29T09:03:00+09:00,2024-06-29T09:06:00+09:00,uplink+timer,,,preset-day,high,7b736ee58d78698102d2f7e5fb4f531d8862960069eac8741f1de81eaf467653
KASHIWA,CAM,,2024-06-29,2024-07-04,data/downlink/01_kashiwa/images/cam/kashiwa_20240629T0903_5ad3a22627.jpg,640.0,480.0,44469,113.13,53.39,ok,2024-06-29T09:03:00+09:00,2024-06-29T09:06:00+09:00,uplink+timer,,,preset-day,high,5ad3a226273fd64d6a86e05134a6267383514112613f9364bfcc1cf665be13aa
KASHIWA,CAM,,2024-06-29,2024-07-04,data/downlink/01_kashiwa/images/cam/kashiwa_20240629T0903_6b142d0338.jpg,640.0,480.0,19215,126.19,38.43,ok,2024-06-29T09:03:00+09:00,2024-06-29T09:06:00+09:00,uplink+timer,,,preset-day,high,6b142d03380ca0f7b1cc7f094e02be1452456e02b31a0d87a399c0d4dddfb6b9
KASHIWA,CAM,,2024-06-29,2024-07-05,data/downlink/01_kashiwa/images/cam/kashiwa_20240629T0903_63836947b6.jpg,640.0,480.0,46360,127.94,56.04,ok,2024-06-29T09:03:00+09:00,2024-06-29T09:06:00+09:00,uplink+timer,,,preset-day,high,63836947b631a006000a3ad24fe90d938db2f91bf496f9e36bd06ad7a52dba81
KASHIWA,CAM,,2024-06-29,2024-07-05,data/downlink/01_kashiwa/images/cam/kashiwa_20240629T0903_9c194b72bc.jpg,640.0,480.0,44713,111.68,48.37,ok,2024-06-29T09:03:00+09:00,2024-06-29T09:06:00+09:00,uplink+timer,,,preset-day,high,9c194b72bcb24f3af62be9bc57e11c56a03f3ffc7ffd54118f273f9e1aa5ef71
KASHIWA,CAM,,2024-06-29,2024-07-06,data/downlink/01_kashiwa/images/cam/kashiwa_20240629T0903_12da0cbd52.jpg,640.0,480.0,46543,124.6,51.8,ok,2024-06-29T09:03:00+09:00,2024-06-29T09:06:00+09:00,uplink+timer,,,preset-day,high,12da0cbd52bc05db86be22d23199d575529fb03109e34e69f98db384571d99e2
KASHIWA,CAM,,2024-06-29,2024-07-06,data/downlink/01_kashiwa/images/cam/kashiwa_20240629T0903_1cd8eac917.jpg,640.0,480.0,16653,125.38,36.02,ok,2024-06-29T09:03:00+09:00,2024-06-29T09:06:00+09:00,uplink+timer,,,preset-day,high,1cd8eac917efb41bcc8fbb37388b18d28a7d0b9c4fd6b31c3a1da465577c4ce4
