recorded_at,source,name,line1,line2
2024-09-24T09:00:16.001523+09:00,gs_db,SAKURA,1 60954U 98067WU  24267.22033980  .00121024  00000+0  16670-2 0  9993,2 60954  51.6359 189.0934 0009554  37.3425 322.8229 15.56288904  3869
2024-09-24T15:00:07.298919+09:00,gs_db,SAKURA,1 60954U 98067WU  24267.22033980  .00121024  00000+0  16670-2 0  9993,2 60954  51.6359 189.0934 0009554  37.3425 322.8229 15.56288904  3869
2024-09-24T21:00:16.034437+09:00,gs_db,SAKURA,1 60954U 98067WU  24268.05505164  .00217959  00000+0  29350-2 0  9995,2 60954  51.6356 184.9183 0009257  40.2721 319.8955 15.56528711  3997
2024-09-25T03:00:06.618986+09:00,gs_db,SAKURA,1 60954U 98067WU  24268.05505164  .00217959  00000+0  29350-2 0  9995,2 60954  51.6356 184.9183 0009257  40.2721 319.8955 15.56528711  3997
2024-09-25T09:00:21.711735+09:00,gs_db,SAKURA,1 60954U 98067WU  24268.05505164  .00217959  00000+0  29350-2 0  9995,2 60954  51.6356 184.9183 0009257  40.2721 319.8955 15.56528711  3997
2024-09-25T15:00:08.046294+09:00,gs_db,SAKURA,1 60954U 98067WU  24268.05505164  .00217959  00000+0  29350-2 0  9995,2 60954  51.6356 184.9183 0009257  40.2721 319.8955 15.56528711  3997
2024-09-25T21:00:16.551519+09:00,gs_db,SAKURA,1 60954U 98067WU  24268.05505164  .00217959  00000+0  29350-2 0  9995,2 60954  51.6356 184.9183 0009257  40.2721 319.8955 15.56528711  3997
2024-09-26T03:00:08.371372+09:00,gs_db,SAKURA,1 60954U 98067WU  24269.46735844  .00165617  00000+0  22144-2 0  9998,2 60954  51.6354 177.8499 0008944  46.0121 314.1607 15.56916855  4214
2024-09-26T09:00:19.173185+09:00,gs_db,SAKURA,1 60954U 98067WU  24269.46735844  .00165617  00000+0  22144-2 0  9998,2 60954  51.6354 177.8499 0008944  46.0121 314.1607 15.56916855  4214
2024-09-26T15:00:09.377773+09:00,gs_db,SAKURA,1 60954U 98067WU  24269.72409932  .00166263  00000+0  22161-2 0  9990,2 60954  51.6352 176.5646 0008883  46.9169 313.2565 15.56998995  4257
2024-09-26T21:00:15.819049+09:00,gs_db,SAKURA,1 60954U 98067WU  24269.72409932  .00166263  00000+0  22161-2 0  9990,2 60954  51.6352 176.5646 0008883  46.9169 313.2565 15.56998995  4257
2024-09-27T03:00:08.271832+09:00,gs_db,SAKURA,1 60954U 98067WU  24269.72409932  .00166263  00000+0  22161-2 0  9990,2 60954  51.6352 176.5646 0008883  46.9169 313.2565 15.56998995  4257
2024-09-27T09:00:20.143125+09:00,gs_db,SAKURA,1 60954U 98067WU  24269.72409932  .00166263  00000+0  22161-2 0  9990,2 60954  51.6352 176.5646 0008883  46.9169 313.2565 15.56998995  4257
2024-09-27T15:00:09.654393+09:00,gs_db,SAKURA,1 60954U 98067WU  24270.43006331  .00166304  00000+0  21978-2 0  9997,2 60954  51.6351 173.0292 0008627  49.9784 310.1964 15.57230204  4361
2024-09-27T21:00:25.730533+09:00,gs_db,SAKURA,1 60954U 98067WU  24271.00759477  .00162474  00000+0  21339-2 0  9992,2 60954  51.6350 170.1359 0008426  52.3712 307.8044 15.57412794  4456
2024-09-28T03:00:07.46009+09:00,gs_db,SAKURA,1 60954U 98067WU  24271.00759477  .00162474  00000+0  21339-2 0  9992,2 60954  51.6350 170.1359 0008426  52.3712 307.8044 15.57412794  4456
